MovieID	IDSubtitleFile	SubLanguageID	IDSubtitle	SubActualCD	SubSumCD	SubFormat	MovieName	MovieYear
29293	1951710415	eng	3160317	1	1	srt	"A Bit of Fry and Laurie" Episode #1.5	1989
29297	1951710447	eng	3160347	1	1	srt	"Boston Legal" The Object of My Affection	2007
29298	1951710452	eng	3160352	1	1	srt	Welcome to the Jungle	2007
29299	1952730219	eng	4058343	1	1	srt	Rules of Engagement	2007
29302	1951710479	eng	3160379	1	1	srt	Maledetto imbroglio, Un	1959
29307	1952493285	eng	3830112	1	1	srt	"Carson's Cellar"	1953
29308	1951710569	eng	3160423	1	2	srt	Bestiar	2007
29309	1951710583	eng	3160435	1	1	srt	Monster Night	2006
29314	1952702234	eng	4027729	1	1	srt	Secret Diary of a Call Girl	2007
29317	1952314287	eng	3668559	1	1	srt	Room at the Top	1959
29318	1952549947	eng	3883611	1	1	srt	Maradona, la mano di Dio	2007
29320	1952159269	eng	3536820	1	1	srt	Møv og funder	1991
29321	1952111973	eng	3495104	1	1	srt	Mon ange	2004
29330	1952900232	eng	4214706	1	1	srt	Man from Atlantis	1977
29331	1951729120	eng	3173951	1	1	srt	No Country for Old Men	2007
29334	1951710905	eng	3160700	1	1	srt	My Tongue Is Quick	1971
29335	1951833590	eng	3256158	1	1	srt	Normal Adolescent Behavior	2007
29337	1951710917	eng	3160712	1	1	srt	On Your Marx, Get Set, Go!	2004
29341	1951710972	eng	3160762	1	1	srt	N'oublie pas que tu vas mourir	1995
29342	1952296350	eng	3653514	1	1	srt	Gens normaux n'ont rien d'exceptionnel, Les	1993
29345	1951999543	eng	3393126	1	1	srt	My Name Is Bruce	2007
29348	114696	eng	85623	6	6	srt	Peep Show	2003
29358	1952831701	eng	4152676	1	1	srt	Harry Potter and the Deathly Hallows: Part 1	2010
29359	1951711142	eng	3160890	1	1	srt	The Phoenix Before	2000
29367	1951888749	eng	3299862	1	1	srt	Masseria delle allodole, La	2007
29368	1951880368	eng	3293114	1	2	srt	All This, and Heaven Too	1940
29369	1951738147	eng	3181043	1	1	srt	El orfanato	2007
29371	1952551693	eng	3885271	1	1	srt	Page 3	2005
29372	1951711409	eng	3160955	1	2	srt	Bhool Bhulaiyaa	2007
29377	1951712766	eng	3162009	1	1	srt	I Am Omega	2007
29378	1951967202	eng	3365008	1	1	srt	Catacombs	2007
29379	1951718193	eng	3166259	1	1	srt	Redrum	2007
29382	1952132617	eng	3513805	1	1	srt	Virdzina	1991
29386	1951712218	eng	3161570	1	1	srt	Le mystere Picasso	1956
29389	1951711568	eng	3161080	1	1	srt	Private School	1983
29390	1951711865	eng	3161276	1	1	srt	P2	2007
29395	1951711752	eng	3161179	1	1	srt	A Night at the Movies	1937
29398	1951723018	eng	3170018	1	1	srt	Colosso di Rodi, Il	1961
29399	1951711939	eng	3161325	1	1	srt	Waitress	2007
29406	1951711864	eng	3161275	1	1	srt	Om Shanti Om	2007
29407	1951711866	eng	3161277	1	2	srt	Bezmiar sprawiedliwosci	2006
29408	1951711888	eng	3161298	1	1	srt	Putevoy obkhodchik	2007
29409	1951711890	eng	3161300	1	1	srt	Milano trema - la polizia vuole giustizia	1973
29410	1951711891	eng	3161301	1	1	srt	Long hu gou	1967
29411	1951711895	eng	3161304	1	1	srt	Ik ook van jou	2001
29413	1951711959	eng	3161345	1	1	srt	Dumb Girl and He	1984
29417	1951712043	eng	3161417	1	1	srt	The All Together	2007
29418	1951824988	eng	3249277	1	1	srt	The Darjeeling Limited	2007
29420	1952494111	eng	3830912	1	1	srt	Aspen Extreme	1993
29421	1951733347	eng	3177375	1	1	srt	Turbo: A Power Rangers Movie	1997
29426	1951831730	eng	3254700	1	2	srt	Love in the Time of Cholera	2007
29427	1952013771	eng	3405798	1	1	srt	Full Metal Village	2006
29429	1952276393	eng	3636931	1	1	srt	Passione d'amore	1981
29435	1952162441	eng	3539436	1	1	srt	What I Like About You	2002
29436	1952231163	eng	3599213	1	1	srt	Confessione di un commissario di polizia al procuratore della repubblica	1971
29437	1951714622	eng	3163525	1	1	srt	BloodMonkey	2007
29445	1952192601	eng	3564637	1	1	srt	The Thin Blue Line	1995
29447	1951712444	eng	3161756	1	1	srt	Não Por Acaso	2007
29449	1951712450	eng	3161762	1	2	srt	Saving Planet Earth, South	2007
29450	1951712456	eng	3161764	1	2	srt	Saawariya	2007
29452	1951712502	eng	3161793	1	2	srt	Never Forever	2007
29453	1951712504	eng	3161794	1	1	srt	Shisha no sho	2005
29454	1951712508	eng	3161798	1	2	srt	Kamiya Etsuko no seishun	2006
29455	1951712516	eng	3161802	1	1	srt	Hup yeu ching yan	2007
29456	1951712517	eng	3161803	1	1	srt	Tau ching nam nui	1997
29463	1951924978	eng	3330386	1	1	srt	L'avocat de la terreur	2007
29464	1951879856	eng	3292702	1	1	srt	Confessions of a Dangerous Mind	2002
29471	1951712762	eng	3162006	1	1	srt	True North	2006
29480	1951712670	eng	3161920	1	1	srt	Valley Girl: 20 Totally Tubular Years Later	2003
29481	1951713613	eng	3162688	1	1	srt	A Dennis the Menace Christmas	2007
29483	1951712819	eng	3162044	1	1	srt	Who's Your Caddy?	2007
29485	1951712740	eng	3161985	1	1	srt	Jal sarabose	2006
29486	1951712749	eng	3161993	1	1	srt	Halloween: The Shape of Horror	2006
29490	1951712790	eng	3162033	1	1	srt	Fîmeiru	2005
29492	1951712829	eng	3162054	1	1	srt	Csend és kiáltás	1967
29495	1951712852	eng	3162076	1	1	srt	"Boston Legal" Attack of the Xenophobes	2007
29504	1951879197	eng	3292223	1	1	srt	Lady Scarface	2006
29506	1952529264	eng	3863988	1	1	srt	Carried Away	1996
29507	1951712986	eng	3162196	1	1	srt	Hål i hjerta	2004
29509	1952353231	eng	3701182	1	1	srt	Eternity	1989
